100090817       1221111172921111231111221212     2222222     22212  10  1012 22220009011113412111111 11113433332112121 13122113221122222        22112121122112 2300090007363221333 00100091010   26132       439000528334435922       45631252 3
100091903       152122317111212217221113222212133     2143432     02  02  32 12120009191322123222121 2232312123131299 233222321113121221        3331214113413112300091007531162214 001000902022  04232       181000210334425912  00   4463124113
100092970       1221112362111122052222123223     4334334     44432  99  9933 43220009211122222222121 2132312139332112 231112321133121323        43322442144134 2300092007873235634 00100099999   03132       077000608440625913       55231232 1
100093985       1221111342311111531111223213     4443111     44244  04  0412144220009311131113111111 1111141232131211 221222122133111114        31112241142146 4300093007953221134 00100090404   03112       109001235331935922       24831222 2
100094251       151122525212212225292913114333344     1244444     98  99  21133120009415533229339222221323421133921219 33229291113124223        44222142144141 4300094008261123711 001000998999  01132       097000489330126012       32412212 3
100095310       1321223171121122512222143222     4344411     44432  98  9821343220009511133122442222222322123321222222 33212321233121224        44921142344131 2300095008464002032 00100099898   36132       037000535440536024       54632252 2
100096323       162121366112212251222214222343433     1233422     99  99  3924322000961122212322222212922912923329999 231222121133123324        33399132134121 2300096008561135414 001000999991  35232       037001039440516014       36542242 2
100097402       162121202191211194111122311243222     2142422     02  98  12 43120009711221313111111 1111341313211212 133121111121223222        22112141124122 2300097008651200219 001000902981  01132       109000891222826012       53021232 2
100098408       1321221351112111341119123112     4222221     42422  08  0812 42120009821333213111111 1191349919211212 139111311911294322        2211354112412212300098008714215739 00100090808   14232       087000782440536024  00   34731252 3
100099412       133122311212211153111922311344444     3344432     99  04  12 4412000991132321322211921231312933312121 923122321113113224        44321242144131 2300099008762195529 001000999042  18232       003002636113936021       23721242 3
100100580       1121129512111111251122232213     4341322     33432  03  0312 43220010011123213222112221323133133311111 11222321112124214        13113131134132 2300100009113221134 00100090303   04132       137000678333756052       35831242 2
100101630       111112355112112251222213222114112     1131222     06  06  21314220010112123122423222222323123133321112 11222321133123321        12222232112121 2300101009361220611 00100090606   14132       089000189221436032       55231242 2
100102630       151122456122212251222113212224443     1134433     99  99  22324220010225222222333222222213123331311222 11222321112122224        43222232144131 3300102009382115022 001000999992  06132       043000354221436032       54421232 1
100103650       151021133191112251222123132233141     3341412     98  08  23 33220010313123222322122212321139222322122 31122321133121321        4122254211411112300103009411002511 00100099808   14232       085000628440536024  00   35232222 1
100104770       1521220372212111231119123213     4444422     44424  98  0412 44120010421313213111111 1113343311211211 133119211111212114        4411314114412224300104009773193832 001000998041  11112       015000784331136031  00   53621222 1
100105801       132021242222212251222994332                                    22001059522212299112222239312929321199 21122291193212121           3211 21  2 6  300105009823124132 0010009    1  02131       035002532444526013       23022212 1
100106831       122121236211112211221213122341323     1143412     01  06  21141220010615123122344222122321121221221212 11221321133123323        23221242134111 2300106010011002619 00100090106   17232       053001172440536024       44021232 2
100107972       123222023212211953119212331234342     3344432     09  01  12 34120010711233219222191 11921433133122221 31112211113121323        42392141144132 2300107010401200614 001000909012  26132       121000746334436032       45031232 1
100108608       152112018111112253222913222141143     1241212     01  01  2134122001081112312222122222232312129332222 931222223213121321        4322214211211112300108010831222317 00100090101   03232       123001399225056152  00   26841222 1
100109262       1511228422122112021121142212     1143433     42242  09  0921 11120010993522113444921 2239212113132121 131122121933111224        34223241122142 2300109010884175131 001000909092  01132       059000189225026112       45031222 2
100110712       142111507121111156111223131241223     2123424     01  01  12 41220011011123312222111 1133343313311112 133122221112114222        23113121134122 4300110010991222019 00100090101   05132       145000771221656152       35831242 2
