id,question,n_options,mode,row,topic,polling_firm,date,keep,drop_reason,dk_shown,claim_cue,drop_category,correct,dk,incorrect,basis,confident_correct,confident_incorrect,total,opinion_wording,graded,format
263,Conspiracy Theories - Russia tampered with vote tallies in order to get Donald Trump elected President. Do you think the following statements are true or not true?,2,online,58,Russia Meddling,Economist/YouGov,07/09-11/17,TRUE,,FALSE,FALSE,,0.6,0,0.4,Reversed: the corpus counted 'true' as correct; no evidence supports vote-tally tampering,27,15,100,TRUE,TRUE,graded
250,Political Accusations - Millions of illegal votes were cast in the election. Do you think the following statements are true or not true?,2,online,61,Voter Fraud 2016,Economist/YouGov,06/04-06/17,TRUE,,FALSE,FALSE,,0.56,0.01,0.43,"Corpus columns; graded item, checked against footnote",27,12,100,TRUE,TRUE,graded
257,Conspiracy Theories - Millions of illegal votes were cast in the election. Do you think the following statements are true or not true?,2,online,62,Voter Fraud 2016,Economist/YouGov,05/13-16/17,TRUE,,FALSE,FALSE,,0.56,0.01,0.43,"Corpus columns; graded item, checked against footnote",27,10,100,TRUE,TRUE,graded
262,Conspiracy Theories - Millions of illegal votes were cast in the election. Do you think the following statements are true or not true?,2,online,63,Voter Fraud 2016,Economist/YouGov,07/09-11/17,TRUE,,FALSE,FALSE,,0.54,0,0.46,"Corpus columns; graded item, checked against footnote",28,17,100,TRUE,TRUE,graded
189,"And from what you have heard or read, do you believe increases in the Earth's temperature over the last century are due more to the effects of pollution from human activities, or natural changes in the environment that are not due to human activities? (Options rotated)",2,online,64,GW Happening Cause,Gallup Organization,03/02-06/16,TRUE,,FALSE,FALSE,,0.65,0.04,0.31,Corpus columns,,,100,TRUE,FALSE,binary
146,"From what you have read or heard, do you personally think certain vaccines do--or do not--cause autism in children, or are you unsure?",3,telephone,65,Vaccines,Gallup Organization,02/28/15-03/01/15,TRUE,,TRUE,FALSE,,0.41414141414141414,0.5252525252525253,0.06060606060606061,Roper topline,,,99,TRUE,FALSE,three or more
3,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?",5,telephone,66,Obama Citizenship,Gallup Organization,05/05-08/11,TRUE,,TRUE,FALSE,,0.6565656565656566,0.21212121212121213,0.13131313131313133,Roper topline,,,99,TRUE,FALSE,three or more
4,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?",5,telephone,67,Obama Citizenship,Gallup Organization,04/20-23/11,TRUE,,TRUE,FALSE,,0.56,0.2,0.24,Roper topline,,,100,TRUE,FALSE,three or more
95,"Do you think Saddam Hussein was personally involved in the September 11th (2001) terrorist attacks (on the World Trade Center and the Pentagon), or not?",2,telephone,69,Iraq 9/11,Gallup Organization,06/21-23/04,TRUE,,FALSE,FALSE,,0.51,0.05,0.44,Roper topline,,,100,TRUE,FALSE,binary
97,"Do you think Saddam Hussein [suh-DAHM WHO-sane] was personally involved in the September 11th terrorist attacks, or not?",2,telephone,70,Iraq 9/11,Gallup Organization,12/15-16/03,TRUE,,FALSE,FALSE,,0.42,0.05,0.53,Roper topline,,,100,TRUE,FALSE,binary
